Date,Open,High,Low,Close
2014/10/06,1970.01001,1977.83997,1958.43005,1964.81995
2014/10/03,1948.12,1971.18994,1948.12,1967.90002
2014/10/02,1945.82996,1952.31995,1926.03003,1946.17004
2014/10/01,1971.43994,1971.43994,1941.71997,1946.16003
2014/09/30,1978.20996,1985.17004,1968.95996,1972.29004
2014/09/29,1978.95996,1981.28003,1964.04004,1977.80005
2014/09/26,1966.21997,1986.37,1966.21997,1982.84998
2014/09/25,1997.31995,1997.31995,1965.98999,1965.98999
2014/09/24,1983.33997,1999.79004,1978.63,1998.30005
2014/09/23,1992.78003,1995.41003,1982.77002,1982.77002
2014/09/22,2009.07996,2009.07996,1991.01001,1994.29004
2014/09/19,2012.73999,2019.26001,2006.58997,2010.40002
2014/09/18,2003.06995,2012.33997,2003.06995,2011.35999
2014/09/17,1999.30005,2010.73999,1993.29004,2001.56995
2014/09/16,1981.93005,2002.28003,1979.06006,1998.97998
2014/09/15,1986.04004,1987.18005,1978.47998,1984.13
2014/09/12,1996.73999,1996.73999,1980.26001,1985.54004
2014/09/11,1992.84998,1997.65002,1985.93005,1997.44995
2014/09/10,1988.41003,1996.66003,1982.98999,1995.68994
2014/09/09,2000.72998,2001.01001,1984.60999,1988.43994
2014/09/08,2007.17004,2007.17004,1995.59998,2001.54004
2014/09/05,1998,2007.70996,1990.09998,2007.70996
2014/09/04,2001.67004,2011.17004,1992.54004,1997.65002
2014/09/03,2003.56995,2009.28003,1998.14001,2000.71997
2014/09/02,2004.06995,2006.12,1994.84998,2002.28003
2014/08/29,1998.44995,2003.38,1994.65002,2003.37
2014/08/28,1997.42004,1998.55005,1990.52002,1996.73999
2014/08/27,2000.54004,2002.14001,1996.19995,2000.12
2014/08/26,1998.58997,2005.04004,1998.58997,2000.02002
2014/08/25,1991.73999,2001.94995,1991.73999,1997.92004
2014/08/22,1992.59998,1993.54004,1984.76001,1988.40002
2014/08/21,1986.81995,1994.76001,1986.81995,1992.37
2014/08/20,1980.45996,1988.56995,1977.68005,1986.51001
2014/08/19,1972.72998,1982.56995,1972.72998,1981.59998
2014/08/18,1958.35999,1971.98999,1958.35999,1971.73999
2014/08/15,1958.87,1964.04004,1941.5,1955.06006
2014/08/14,1947.41003,1955.22998,1947.41003,1955.18005
2014/08/13,1935.59998,1948.41003,1935.59998,1946.71997
2014/08/12,1935.72998,1939.65002,1928.29004,1933.75
2014/08/11,1933.43005,1944.90002,1933.43005,1936.92004
2014/08/08,1910.34998,1932.38,1909.01001,1931.58997
2014/08/07,1923.03003,1928.89001,1904.78003,1909.56995
2014/08/06,1917.29004,1927.91003,1911.44995,1920.23999
2014/08/05,1936.33997,1936.33997,1913.77002,1920.20996
2014/08/04,1926.62,1942.92004,1921.19995,1938.98999
2014/08/01,1929.80005,1937.34998,1916.37,1925.15002
2014/07/31,1965.14001,1965.14001,1930.67004,1930.67004
2014/07/30,1973.20996,1978.90002,1962.42004,1970.06995
2014/07/29,1980.03003,1984.84998,1969.94995,1969.94995
2014/07/28,1978.25,1981.52002,1967.31006,1978.91003
2014/07/25,1984.59998,1984.59998,1974.37,1978.33997
2014/07/24,1988.06995,1991.39001,1985.79004,1987.97998
2014/07/23,1985.31995,1989.22998,1982.43994,1987.01001
2014/07/22,1975.65002,1986.23999,1975.65002,1983.53003
2014/07/21,1976.93005,1976.93005,1965.77002,1973.63
2014/07/18,1961.54004,1979.91003,1960.81995,1978.21997
2014/07/17,1979.75,1981.80005,1955.58997,1958.12
2014/07/16,1976.34998,1983.93994,1975.67004,1981.56995
2014/07/15,1977.35999,1982.52002,1965.33997,1973.28003
2014/07/14,1969.85999,1979.84998,1969.85999,1977.09998
2014/07/11,1965.76001,1968.67004,1959.63,1967.56995
2014/07/10,1966.67004,1969.83997,1952.85999,1964.68005
2014/07/09,1965.09998,1974.15002,1965.09998,1972.82996
2014/07/08,1976.39001,1976.39001,1959.45996,1963.70996
2014/07/07,1984.21997,1984.21997,1974.88,1977.65002
2014/07/03,1975.88,1985.58997,1975.88,1985.43994
2014/07/02,1973.06006,1976.67004,1972.57996,1974.62
2014/07/01,1962.29004,1978.57996,1962.29004,1973.31995
2014/06/30,1960.79004,1964.23999,1958.21997,1960.22998
2014/06/27,1956.56006,1961.46997,1952.18005,1960.95996
2014/06/26,1959.89001,1959.89001,1944.68994,1957.21997
2014/06/25,1949.27002,1960.82996,1947.48999,1959.53003
2014/06/24,1961.96997,1968.17004,1948.33997,1949.97998
2014/06/23,1962.92004,1963.73999,1958.89001,1962.60999
2014/06/20,1960.44995,1963.91003,1959.17004,1962.87
2014/06/19,1957.5,1959.87,1952.26001,1959.47998
2014/06/18,1942.72998,1957.73999,1939.29004,1956.97998
2014/06/17,1937.15002,1943.68994,1933.55005,1941.98999
2014/06/16,1934.83997,1941.15002,1930.91003,1937.78003
2014/06/13,1930.80005,1937.30005,1927.68994,1936.16003
2014/06/12,1943.34998,1943.34998,1925.78003,1930.10999
2014/06/11,1949.37,1949.37,1940.07996,1943.89001
2014/06/10,1950.33997,1950.85999,1944.64001,1950.79004
2014/06/09,1948.96997,1955.55005,1947.16003,1951.27002
2014/06/06,1942.41003,1949.43994,1942.41003,1949.43994
2014/06/05,1928.52002,1941.73999,1922.93005,1940.45996
2014/06/04,1923.06006,1928.63,1918.59998,1927.88
2014/06/03,1923.06995,1925.06995,1918.79004,1924.23999
2014/06/02,1923.87,1925.88,1915.97998,1924.96997
2014/05/30,1920.32996,1924.03003,1916.64001,1923.56995
